State FIPS,County FIPS,County,State Abbr,State,ReEDS BA,Cambium GEA
31,29,Chase,NE,Nebraska,p39,SPP_North
51,149,Prince George,VA,Virginia,p99,PJM_East
42,45,Delaware,PA,Pennsylvania,p122,PJM_East
12,131,Walton,FL,Florida,p91,SERTP
48,235,Irion,TX,Texas,p61,ERCOT
20,209,Wyandotte,KS,Kansas,p53,SPP_South
8,59,Jefferson,CO,Colorado,p33,WestConnect_North
53,49,Pacific,WA,Washington,p2,NorthernGrid_West
27,93,Meeker,MN,Minnesota,p43,MISO_North
28,57,Itawamba,MS,Mississippi,p88,SERTP
28,43,Grenada,MS,Mississippi,p87,MISO_South
25,3,Berkshire,MA,Massachusetts,p131,ISONE
38,67,Pembina,ND,North Dakota,p37,MISO_North
13,215,Muscogee,GA,Georgia,p94,SERTP
54,37,Jefferson,WV,West Virginia,p116,PJM_East
48,97,Cooke,TX,Texas,p63,ERCOT
37,13,Beaufort,NC,North Carolina,p98,SERTP
20,169,Saline,KS,Kansas,p53,SPP_South
28,75,Lauderdale,MS,Mississippi,p87,MISO_South
38,73,Ransom,ND,North Dakota,p37,MISO_North
31,15,Boyd,NE,Nebraska,p40,SPP_North
21,129,Lee,KY,Kentucky,p109,PJM_East
41,15,Curry,OR,Oregon,p6,NorthernGrid_West
32,19,Lyon,NV,Nevada,p12,NorthernGrid_South
54,29,Hancock,WV,West Virginia,p116,PJM_East
48,363,Palo Pinto,TX,Texas,p63,ERCOT
47,115,Marion,TN,Tennessee,p92,SERTP
6,1,Alameda,CA,California,p9,CAISO
13,291,Union,GA,Georgia,p94,SERTP
39,91,Logan,OH,Ohio,p112,PJM_East
21,235,Whitley,KY,Kentucky,p109,PJM_East
41,37,Lake,OR,Oregon,p7,NorthernGrid_West
19,185,Wayne,IA,Iowa,p70,MISO_North
21,97,Harrison,KY,Kentucky,p109,PJM_East
31,37,Colfax,NE,Nebraska,p41,SPP_North
48,475,Ward,TX,Texas,p62,ERCOT
1,5,Barbour,AL,Alabama,p90,SERTP
39,123,Ottawa,OH,Ohio,p111,PJM_East
29,75,Gentry,MO,Missouri,p54,SPP_South
45,25,Chesterfield,SC,South Carolina,p96,SERTP
19,23,Butler,IA,Iowa,p69,MISO_North
37,187,Washington,NC,North Carolina,p98,SERTP
41,5,Clackamas,OR,Oregon,p5,NorthernGrid_West
19,111,Lee,IA,Iowa,p70,MISO_North
1,37,Coosa,AL,Alabama,p90,SERTP
31,5,Arthur,NE,Nebraska,p39,SPP_North
5,83,Logan,AR,Arkansas,p56,SPP_South
1,15,Calhoun,AL,Alabama,p90,SERTP
45,35,Dorchester,SC,South Carolina,p96,SERTP
12,31,Duval,FL,Florida,p101,FRCC
24,19,Dorchester,MD,Maryland,p123,PJM_East
6,45,Mendocino,CA,California,p9,CAISO
18,21,Clay,IN,Indiana,p107,MISO_Central
12,109,St. Johns,FL,Florida,p101,FRCC
22,113,Vermilion,LA,Louisiana,p58,MISO_South
18,89,Lake,IN,Indiana,p105,MISO_Central
27,145,Stearns,MN,Minnesota,p43,MISO_North
30,41,Hill,MT,Montana,p18,NorthernGrid_East
17,95,Knox,IL,Illinois,p81,MISO_Central
54,5,Boone,WV,West Virginia,p117,PJM_East
20,155,Reno,KS,Kansas,p53,SPP_South
51,165,Rockingham,VA,Virginia,p99,PJM_East
33,3,Carroll,NH,New Hampshire,p130,ISONE
40,99,Murray,OK,Oklahoma,p50,SPP_South
1,29,Cleburne,AL,Alabama,p90,SERTP
